     #Energy   up_Fe_dz2   dw_Fe_dz2
   -21.63031     0.00000     0.00000
   -21.61631     0.00000     0.00000
   -21.60331     0.00000     0.00000
   -21.58931     0.00000     0.00000
   -21.57631     0.00000     0.00000
   -21.56231     0.00000     0.00000
   -21.54931     0.00000     0.00000
   -21.53631     0.00000     0.00000
   -21.52231     0.00000     0.00000
   -21.50931     0.00000     0.00000
   -21.49531     0.00000     0.00000
   -21.48231     0.00000     0.00000
   -21.46831     0.00000     0.00000
   -21.45531     0.00000     0.00000
   -21.44131     0.00000     0.00000
   -21.42831     0.00000     0.00000
   -21.41431     0.00000     0.00000
   -21.40131     0.00000     0.00000
   -21.38831     0.00000     0.00000
   -21.37431     0.00000     0.00000
   -21.36131     0.00000     0.00000
   -21.34731     0.00000     0.00000
   -21.33431     0.00000     0.00000
   -21.32031     0.00000     0.00000
   -21.30731     0.00000     0.00000
   -21.29331     0.00000     0.00000
   -21.28031     0.00000     0.00000
   -21.26631     0.00000     0.00000
   -21.25331     0.00000     0.00000
   -21.23931     0.00000     0.00000
   -21.22631     0.00000     0.00000
   -21.21331     0.00000     0.00000
   -21.19931     0.00000     0.00000
   -21.18631     0.00000     0.00000
   -21.17231     0.00000     0.00000
   -21.15931     0.00000     0.00000
   -21.14531     0.00000     0.00000
   -21.13231     0.00000     0.00000
   -21.11831     0.00000     0.00000
   -21.10531     0.00000     0.00000
   -21.09131     0.00000     0.00000
   -21.07831     0.00000     0.00000
   -21.06431     0.00000     0.00000
   -21.05131     0.00000     0.00000
   -21.03831     0.00000     0.00000
   -21.02431     0.00000     0.00000
   -21.01131     0.00000     0.00000
   -20.99731     0.00000     0.00000
   -20.98431     0.00000     0.00000
   -20.97031     0.00000     0.00000
   -20.95731     0.00000     0.00000
   -20.94331     0.00000     0.00000
   -20.93031     0.00000     0.00000
   -20.91631     0.00000     0.00000
   -20.90331     0.00000     0.00000
   -20.88931     0.00000     0.00000
   -20.87631     0.00000     0.00000
   -20.86331     0.00000     0.00000
   -20.84931     0.00000     0.00000
   -20.83631     0.00000     0.00000
   -20.82231     0.00000     0.00000
   -20.80931     0.00000     0.00000
   -20.79531     0.00000     0.00000
   -20.78231     0.00000     0.00000
   -20.76831     0.00000     0.00000
   -20.75531     0.00000     0.00000
   -20.74131     0.00000     0.00000
   -20.72831     0.00000     0.00000
   -20.71531     0.00000     0.00000
   -20.70131     0.00000     0.00000
   -20.68831     0.00000     0.00000
   -20.67431     0.00000     0.00000
   -20.66131     0.00000     0.00000
   -20.64731     0.00000     0.00000
   -20.63431     0.00000     0.00000
   -20.62031     0.00000     0.00000
   -20.60731     0.00000     0.00000
   -20.59331     0.00000     0.00000
   -20.58031     0.00000    -0.00000
   -20.56631     0.00000    -0.00000
   -20.55331     0.00000    -0.00000
   -20.54031     0.00000    -0.00000
   -20.52631     0.00000    -0.00000
   -20.51331     0.00000    -0.00000
   -20.49931     0.00000    -0.00000
   -20.48631     0.00001    -0.00002
   -20.47231     0.00011    -0.00020
   -20.45931     0.00089    -0.00133
   -20.44531     0.00473    -0.00611
   -20.43231     0.01696    -0.01898
   -20.41831     0.04115    -0.03992
   -20.40531     0.06763    -0.05686
   -20.39131     0.07529    -0.05489
   -20.37831     0.05679    -0.03589
   -20.36531     0.02902    -0.01590
   -20.35131     0.01004    -0.00477
   -20.33831     0.00235    -0.00097
   -20.32431     0.00037    -0.00013
   -20.31131     0.00004    -0.00001
   -20.29731     0.00000    -0.00000
   -20.28431     0.00000    -0.00000
   -20.27031     0.00000    -0.00000
   -20.25731     0.00000    -0.00000
   -20.24331     0.00000    -0.00000
   -20.23031     0.00000    -0.00000
   -20.21631     0.00000    -0.00000
   -20.20331     0.00000    -0.00000
   -20.19031     0.00000    -0.00000
   -20.17631     0.00000    -0.00000
   -20.16331     0.00000    -0.00000
   -20.14931     0.00000    -0.00000
   -20.13631     0.00000    -0.00000
   -20.12231     0.00000    -0.00000
   -20.10931     0.00000    -0.00000
   -20.09531     0.00000    -0.00000
   -20.08231     0.00000    -0.00000
   -20.06831     0.00000    -0.00000
   -20.05531     0.00000    -0.00000
   -20.04231     0.00000    -0.00000
   -20.02831     0.00000    -0.00000
   -20.01531     0.00000    -0.00000
   -20.00131     0.00000    -0.00000
   -19.98831     0.00000    -0.00000
   -19.97431     0.00000    -0.00000
   -19.96131     0.00000    -0.00000
   -19.94731     0.00000    -0.00000
   -19.93431     0.00000    -0.00000
   -19.92031     0.00000    -0.00000
   -19.90731     0.00000    -0.00000
   -19.89331     0.00000    -0.00000
   -19.88031     0.00000    -0.00000
   -19.86731     0.00000    -0.00000
   -19.85331     0.00000    -0.00000
   -19.84031     0.00000    -0.00000
   -19.82631     0.00000    -0.00000
   -19.81331     0.00000    -0.00000
   -19.79931     0.00000    -0.00000
   -19.78631     0.00000    -0.00000
   -19.77231     0.00000    -0.00000
   -19.75931     0.00000    -0.00000
   -19.74531     0.00000    -0.00000
   -19.73231     0.00000    -0.00000
   -19.71831     0.00000    -0.00000
   -19.70531     0.00000    -0.00000
   -19.69231     0.00000    -0.00000
   -19.67831     0.00000    -0.00000
   -19.66531     0.00000    -0.00000
   -19.65131     0.00000     0.00000
   -19.63831     0.00000     0.00000
   -19.62431     0.00000     0.00000
   -19.61131     0.00000     0.00000
   -19.59731     0.00000     0.00000
   -19.58431     0.00000     0.00000
   -19.57031     0.00000     0.00000
   -19.55731     0.00000    -0.00000
   -19.54431     0.00000    -0.00000
   -19.53031     0.00000    -0.00000
   -19.51731     0.00000    -0.00000
   -19.50331     0.00000    -0.00000
   -19.49031     0.00000    -0.00000
   -19.47631     0.00000    -0.00000
   -19.46331     0.00000    -0.00000
   -19.44931     0.00000    -0.00000
   -19.43631     0.00000    -0.00000
   -19.42231     0.00000    -0.00000
   -19.40931     0.00000    -0.00000
   -19.39531     0.00000    -0.00000
   -19.38231     0.00000    -0.00000
   -19.36931     0.00000    -0.00000
   -19.35531     0.00000    -0.00000
